country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Austria,Europe,Western Europe,29.50,36.71,39.73,80.03,93.77,62.74,69.60,92.86,214.8,-33.09
Belgium,Europe,Western Europe,53.95,59.35,70.04,95.90,121.81,83.63,91.35,100.82,86.9,-31.34
France,Europe,Western Europe,60.83,81.45,106.96,158.44,201.61,105.23,169.65,223.72,267.8,-47.81
Germany,Europe,Western Europe,50.02,57.61,74.33,106.41,130.76,75.09,85.00,90.63,81.2,-42.57
Liechtenstein,Europe,Western Europe,No data,No data,112.50,164.47,194.77,110.77,135.28,186.36,65.7,-43.13
Luxembourg,Europe,Western Europe,59.96,96.96,107.86,135.48,173.16,93.22,102.20,142.05,136.9,-46.17
Monaco,Europe,Western Europe,No data,No data,124.40,164.31,242.89,126.72,156.76,No data,26.0,-47.83
Netherlands,Europe,Western Europe,71.95,83.32,99.81,120.46,161.85,106.51,136.34,186.84,159.7,-34.19
Switzerland,Europe,Western Europe,76.84,94.56,119.33,170.67,222.00,122.76,160.81,203.50,164.8,-44.70
